state,postal_code,web_id,inc,class,state_id,party,party_id,cand,cand_id,fund_weight,exp_weight,fund_pct,exp_pct,poll_weight,state_sim_weight,poll_pct,state_sim_pct,proj_vote,variance,index,win
South Dakota,SD,south-dakota,,Class III,SD,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,26.58,27.92,0.0,0.0,0.0,0.0,27.25,7.0,90.0,0.02
South Dakota,SD,south-dakota,,Class III,SD,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.55,2.55,0.0,0.0,0.0,0.0,2.55,7.0,91.0,0.0
Utah,UT,utah,yes,Class III,UT,R,REP,Mike Lee,Mike Lee,40.0,40.0,61.81,60.41,0.0,0.0,0.0,0.0,61.11,7.0,92.0,99.93
Utah,UT,utah,,Class III,UT,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,28.2,29.6,0.0,0.0,0.0,0.0,28.9,7.0,93.0,0.07
Utah,UT,utah,,Class III,UT,I,IND,IND_CAND,IND_CAND,40.0,40.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,94.0,0.0
Vermont,VT,vermont,,Class III,VT,R,REP,REP_CAND,REP_CAND,40.0,40.0,32.61,31.13,0.0,0.0,0.0,0.0,31.87,7.0,95.0,0.33
Vermont,VT,vermont,,Class III,VT,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,58.55,60.03,0.0,0.0,0.0,0.0,59.29,7.0,96.0,99.67
Vermont,VT,vermont,,Class III,VT,I,IND,IND_CAND,IND_CAND,40.0,40.0,4.42,4.42,0.0,0.0,0.0,0.0,4.42,7.0,97.0,0.0
Washington,WA,washington,,Class III,WA,R,REP,REP_CAND,REP_CAND,40.0,40.0,38.87,36.23,0.0,0.0,0.0,0.0,37.55,7.0,98.0,3.33
Washington,WA,washington,yes,Class III,WA,D,DEM,Patty Murray,Patty Murray,40.0,40.0,53.58,56.23,0.0,0.0,0.0,0.0,54.9,7.0,99.0,96.67
Washington,WA,washington,,Class III,WA,I,IND,IND_CAND,IND_CAND,40.0,40.0,3.77,3.77,0.0,0.0,0.0,0.0,3.77,7.0,100.0,0.0
Wisconsin,WI,wisconsin,yes,Class III,WI,R,REP,Ron Johnson,Ron Johnson,40.0,40.0,51.92,49.03,0.0,0.0,0.0,0.0,50.48,7.0,101.0,77.11
Wisconsin,WI,wisconsin,,Class III,WI,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,42.89,45.78,0.0,0.0,0.0,0.0,44.34,7.0,102.0,22.89
Wisconsin,WI,wisconsin,,Class III,WI,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.6,2.6,0.0,0.0,0.0,0.0,2.6,7.0,103.0,0.0
